Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion,Coordinador_Estatal,Coordinador_Distrital_Federal,Coordinador_Municipal,Coordinadores_De_Brigada_Requeridos,Brigadistas_Requeridos,Coordinadores_Seccionales_Requeridos,Protagonistas_Movilizadores_Requeridos,Votos_Nivel_1_Requeridos
1,Hermosillo,1050,1134,1207,1294,44,399,158,485,314,310,53.3%,689,345,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,4,35,345
2,Hermosillo,731,789,840,900,54,322,77,267,247,157,49.5%,445,223,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,23,223
3,Hermosillo,1474,1591,1695,1817,54,553,131,692,478,373,51.7%,940,471,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,48,471
4,Hermosillo,1466,1583,1685,1806,40,680,296,638,480,401,53.9%,973,487,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,5,49,487
5,Hermosillo,1546,1669,1777,1905,66,652,171,728,381,360,42.9%,817,409,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,41,409
6,Hermosillo,2850,3078,3277,3514,188,1420,602,1216,689,669,42.7%,1500,751,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,76,751
7,Hermosillo,1826,1972,2099,2250,101,934,250,769,446,549,48.8%,1098,550,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,6,55,550
8,Hermosillo,1428,1542,1642,1760,54,569,263,479,472,452,58.0%,1020,511,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,52,511
9,Hermosillo,2396,2587,2755,2954,67,1172,395,903,615,645,47.1%,1391,696,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,70,696
10,Hermosillo,2840,3067,3265,3500,222,1453,461,1144,861,932,56.6%,1981,991,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,10,100,991
11,Hermosillo,2352,2540,2704,2899,88,1178,273,786,847,745,60.7%,1759,880,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,9,88,880
12,Hermosillo,2443,2638,2809,3012,201,1242,273,820,833,536,50.2%,1512,757,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,8,76,757
13,Hermosillo,1560,1684,1793,1922,78,729,152,647,354,375,41.9%,805,403,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,41,403
14,Hermosillo,937,1011,1077,1154,68,383,144,425,362,268,60.3%,695,348,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,35,348
15,Hermosillo,1355,1463,1558,1670,86,594,154,515,396,540,61.9%,1033,517,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,6,52,517
16,Hermosillo,1980,2138,2277,2441,122,914,261,913,539,485,46.3%,1130,566,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,57,566
17,Hermosillo,2638,2849,3033,3252,113,987,460,1218,634,609,42.2%,1373,687,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,69,687
18,Hermosillo,1242,1341,1428,1531,51,464,229,425,488,396,63.8%,976,489,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,49,489
19,Hermosillo,677,731,778,834,22,299,67,230,196,178,49.5%,412,207,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,21,207
20,Hermosillo,1119,1208,1286,1378,63,567,224,483,305,208,41.1%,565,283,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,29,283
21,Hermosillo,1175,1269,1351,1448,48,489,126,636,417,362,59.4%,860,431,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,44,431
22,Hermosillo,1074,1159,1235,1324,50,539,140,381,336,287,52.0%,688,345,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,35,345
23,Hermosillo,1687,1821,1940,2080,110,883,188,558,669,519,63.1%,1312,657,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,7,66,657
24,Hermosillo,2068,2233,2378,2550,150,858,408,975,718,724,62.5%,1593,797,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,8,80,797
25,Hermosillo,2044,2207,2350,2519,73,759,285,776,668,561,53.9%,1357,679,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,7,68,679
26,Hermosillo,1330,1436,1529,1639,103,675,193,379,421,407,55.8%,914,458,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,46,458
27,Hermosillo,2465,2662,2834,3038,84,1397,428,1108,674,624,47.2%,1434,718,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,8,72,718
28,Hermosillo,962,1038,1106,1185,46,386,147,377,247,322,53.0%,627,314,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,4,32,314
29,Hermosillo,2745,2964,3156,3384,113,1012,555,1260,970,708,54.8%,1853,927,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,10,93,927
30,Hermosillo,2708,2924,3114,3339,204,1473,427,1346,714,650,45.2%,1507,754,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,76,754
31,Hermosillo,550,594,632,677,28,236,88,223,187,203,63.6%,430,216,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,22,216
32,Hermosillo,817,882,939,1006,46,279,120,358,249,182,47.3%,475,238,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,1,3,24,238
33,Hermosillo,2836,3062,3261,3496,186,1451,366,1036,625,811,45.4%,1586,794,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,80,794
34,Hermosillo,2666,2879,3065,3286,155,1191,262,1220,797,519,44.2%,1453,727,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,8,73,727
35,Hermosillo,2747,2966,3159,3387,214,1468,505,1072,987,924,62.4%,2112,1057,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,3,11,106,1057
36,Hermosillo,1846,1993,2122,2275,105,1014,232,641,665,648,63.8%,1450,726,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,8,73,726
37,Hermosillo,2989,3228,3437,3685,183,1380,444,1550,900,560,43.8%,1613,807,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,9,81,807
38,Hermosillo,2224,2401,2557,2741,120,1084,354,747,633,618,50.4%,1381,691,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,7,70,691
39,Hermosillo,1359,1467,1562,1674,65,557,114,533,481,343,54.4%,909,455,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,46,455
40,Hermosillo,2378,2568,2734,2931,76,1149,384,718,613,688,49.0%,1437,719,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,8,72,719
41,Hermosillo,2060,2224,2369,2540,147,948,348,998,770,656,62.1%,1576,789,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,79,789
42,Hermosillo,956,1032,1099,1178,44,375,159,480,287,362,60.9%,717,359,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,4,36,359
43,Hermosillo,657,709,755,809,34,372,108,193,231,191,57.6%,466,234,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,24,234
44,Hermosillo,2173,2346,2498,2678,134,863,285,863,626,723,55.6%,1490,746,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,8,75,746
45,Hermosillo,1613,1742,1854,1987,44,667,299,620,491,548,57.8%,1147,574,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,6,58,574
46,Hermosillo,812,876,933,1000,51,298,89,328,173,210,42.2%,422,212,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,22,212
47,Hermosillo,1941,2096,2232,2393,121,1053,356,905,720,567,59.4%,1421,711,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,8,72,711
48,Hermosillo,2745,2964,3156,3384,167,1531,325,1425,885,617,49.0%,1659,830,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,9,83,830
49,Hermosillo,773,834,888,951,50,278,135,332,253,175,49.7%,472,237,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,24,237
50,Hermosillo,2537,2739,2917,3127,122,1119,305,1174,657,476,40.0%,1252,627,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,7,63,627
51,Hermosillo,1497,1616,1721,1845,108,682,195,711,463,348,48.6%,896,449,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,5,45,449
52,Hermosillo,1599,1726,1838,1970,61,700,138,570,590,516,62.0%,1221,611,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,7,62,611
53,Hermosillo,1384,1494,1591,1705,96,737,259,602,402,469,56.4%,961,481,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,5,49,481
54,Hermosillo,1063,1148,1222,1310,42,586,181,366,359,390,63.2%,827,414,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,5,42,414
55,Hermosillo,870,939,1000,1072,58,429,151,302,186,249,44.8%,480,241,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,25,241
56,Hermosillo,2792,3015,3210,3441,116,1391,377,794,902,612,48.6%,1672,837,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,9,84,837
57,Hermosillo,674,727,775,831,30,348,107,236,217,266,64.1%,532,267,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,3,27,267
58,Hermosillo,2878,3108,3309,3548,85,1096,516,1355,1001,648,51.4%,1822,912,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,2,10,92,912
59,Hermosillo,1418,1531,1630,1747,102,715,171,667,323,325,41.0%,715,358,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,4,36,358
60,Hermosillo,1760,1900,2023,2168,117,721,258,906,592,425,51.8%,1123,562,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,6,57,562
61,Hermosillo,2525,2727,2903,3112,172,1047,204,984,706,945,58.6%,1824,913,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,10,92,913
62,Hermosillo,2856,3084,3284,3521,150,959,492,963,1141,924,64.8%,2281,1141,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,3,12,115,1141
63,Hermosillo,2323,2508,2671,2864,143,953,301,1261,708,610,50.8%,1456,729,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,2,8,73,729
64,Hermosillo,2450,2646,2817,3020,165,1310,461,858,651,505,42.3%,1276,639,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,7,64,639
65,Hermosillo,2198,2373,2527,2709,92,1110,227,717,767,599,55.7%,1509,755,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,2,8,76,755
66,Hermosillo,790,853,908,973,41,444,139,290,168,213,43.2%,420,211,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Este),1,1,3,22,211
67,Hermosillo,806,870,926,992,21,330,84,411,273,212,54.0%,535,268,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Oeste),1,1,3,27,268
68,Hermosillo,2410,2602,2771,2971,163,973,482,1154,834,865,63.2%,1877,939,Competida (Swing),Coordinador Estatal 1,Coordinador Distrito Federal 3,Coordinador Municipal Hermosillo (Zona Norte),1,2,10,94,939
69,Hermosillo,652,704,749,802,28,378,97,251,181,155,46.2%,370,186,Segura (Crecimiento Alto),Coordinador Estatal 1,Coordinador Distrito Federal 5,Coordinador Municipal Hermosillo (Zona Sur),1,1,2,19,186
