Seccion,Municipio,Nominal_2009,Nominal_2015,Nominal_2021,Proyeccion_Nominal_2027,Morena_2009,Oposicion_2009,Morena_2015,Oposicion_2015,Morena_2021,Oposicion_2021,Participacion_2021_Pct,Votos_Esperados_Totales_2027,Votos_Necesarios_50_Mas_1_2027,Clasificacion
1,Nogales,1482,2235,2163,2677,98,547,242,1093,751,552,62.1%,1662,832,Segura (Crecimiento Alto)
2,Cajeme,977,2398,2701,4835,51,528,305,1148,671,830,57.3%,2769,1385,Competida (Swing)
3,Guaymas,1258,2529,821,958,26,462,362,868,225,147,46.7%,446,224,Favorable (Estable)
4,Cajeme,1762,1017,1608,1735,117,977,129,402,355,389,47.7%,827,414,Competida (Swing)
5,Navojoa,1951,752,1532,1855,128,1039,98,254,431,339,51.8%,960,481,Segura (Crecimiento Alto)
6,Hermosillo,1853,1401,3268,5046,133,875,211,589,844,1022,58.8%,2969,1485,Competida (Swing)
7,Nogales,686,731,1684,2836,36,345,104,281,305,407,43.6%,1236,619,Competida (Swing)
8,San Luis Rio Colorado,1352,2758,2501,3684,61,530,276,1438,421,579,41.2%,1517,759,Competida (Swing)
9,Nogales,1359,735,1734,2514,67,596,143,310,616,466,64.3%,1616,809,Segura (Crecimiento Alto)
10,San Luis Rio Colorado,1899,2518,3314,4377,80,758,449,875,673,862,47.7%,2089,1045,Competida (Swing)
11,Nogales,2677,959,1913,2250,167,1371,148,361,648,503,62.0%,1394,698,Segura (Crecimiento Alto)
12,Guaymas,1294,2984,2122,3201,54,645,480,943,701,636,64.9%,2078,1040,Segura (Crecimiento Alto)
13,San Luis Rio Colorado,2919,1567,2275,2262,85,1102,199,448,572,529,49.9%,1128,565,Segura (Crecimiento Alto)
14,Navojoa,2616,1918,3405,4270,86,1099,164,893,698,896,48.3%,2060,1031,Competida (Swing)
15,Navojoa,734,1632,1535,2428,21,270,137,507,498,383,59.2%,1436,719,Segura (Crecimiento Alto)
16,Cajeme,1313,2252,2511,3553,116,685,195,972,655,725,56.6%,2012,1007,Competida (Swing)
17,Navojoa,839,1749,1900,3012,44,355,134,578,350,499,46.1%,1387,694,Competida (Swing)
18,Nogales,1159,3163,1599,2586,61,414,484,914,451,284,47.3%,1224,613,Favorable (Estable)
19,Nogales,1305,2014,3390,5468,96,604,243,864,1122,969,63.6%,3475,1738,Segura (Crecimiento Alto)
20,Guaymas,533,3040,604,1782,12,219,614,1239,124,135,44.0%,784,393,Competida (Swing)
21,Hermosillo,876,1171,1339,1660,49,492,225,412,418,398,62.8%,1042,522,Segura (Crecimiento Alto)
22,Hermosillo,1769,1723,804,579,147,860,292,520,229,160,49.9%,288,145,Favorable (Estable)
