SECCION,MUNICIPIO,LISTA_NOMINAL,VOTOS_MORENA_Y_ALIADOS,VOTOS_OPOSICION,VOTOS_NULOS
1,Hermosillo,1207,314,310,19
2,Hermosillo,840,247,157,12
3,Hermosillo,1695,478,373,26
4,Hermosillo,1685,480,401,27
5,Hermosillo,1777,381,360,22
6,Hermosillo,3277,689,669,41
7,Hermosillo,2099,446,549,30
8,Hermosillo,1642,472,452,28
9,Hermosillo,2755,615,645,38
10,Hermosillo,3265,861,932,55
11,Hermosillo,2704,847,745,49
12,Hermosillo,2809,833,536,42
13,Hermosillo,1793,354,375,22
14,Hermosillo,1077,362,268,19
15,Hermosillo,1558,396,540,28
16,Hermosillo,2277,539,485,31
17,Hermosillo,3033,634,609,38
18,Hermosillo,1428,488,396,27
19,Hermosillo,778,196,178,11
20,Hermosillo,1286,305,208,15
21,Hermosillo,1351,417,362,24
22,Hermosillo,1235,336,287,19
23,Hermosillo,1940,669,519,36
24,Hermosillo,2378,718,724,44
25,Hermosillo,2350,668,561,37
26,Hermosillo,1529,421,407,25
27,Hermosillo,2834,674,624,40
28,Hermosillo,1106,247,322,17
29,Hermosillo,3156,970,708,51
30,Hermosillo,3114,714,650,42
31,Hermosillo,632,187,203,12
32,Hermosillo,939,249,182,13
33,Hermosillo,3261,625,811,44
34,Hermosillo,3065,797,519,40
35,Hermosillo,3159,987,924,59
36,Hermosillo,2122,665,648,40
37,Hermosillo,3437,900,560,45
38,Hermosillo,2557,633,618,38
39,Hermosillo,1562,481,343,25
40,Hermosillo,2734,613,688,40
41,Hermosillo,2369,770,656,44
42,Hermosillo,1099,287,362,20
43,Hermosillo,755,231,191,13
44,Hermosillo,2498,626,723,41
45,Hermosillo,1854,491,548,32
46,Hermosillo,933,173,210,11
47,Hermosillo,2232,720,567,39
48,Hermosillo,3156,885,617,46
49,Hermosillo,888,253,175,13
50,Hermosillo,2917,657,476,35
51,Hermosillo,1721,463,348,25
52,Hermosillo,1838,590,516,34
53,Hermosillo,1591,402,469,26
54,Hermosillo,1222,359,390,23
55,Hermosillo,1000,186,249,13
56,Hermosillo,3210,902,612,46
57,Hermosillo,775,217,266,14
58,Hermosillo,3309,1001,648,51
59,Hermosillo,1630,323,325,20
60,Hermosillo,2023,592,425,31
61,Hermosillo,2903,706,945,51
62,Hermosillo,3284,1141,924,63
63,Hermosillo,2671,708,610,40
64,Hermosillo,2817,651,505,35
65,Hermosillo,2527,767,599,42
66,Hermosillo,908,168,213,11
67,Hermosillo,926,273,212,15
68,Hermosillo,2771,834,865,52
69,Hermosillo,749,181,155,10
70,Hermosillo,1132,223,297,16
71,Hermosillo,2099,681,534,37
72,Hermosillo,919,238,215,13
73,Hermosillo,1892,314,444,23
74,Hermosillo,3001,807,765,48
75,Hermosillo,2697,457,602,32
76,Hermosillo,2319,546,400,29
77,Hermosillo,1765,443,343,24
78,Hermosillo,1458,481,382,26
79,Hermosillo,1259,367,355,22
80,Hermosillo,1853,641,402,32
81,Hermosillo,2957,702,660,42
82,Hermosillo,1255,374,350,22
83,Hermosillo,2911,571,688,38
84,Hermosillo,1910,485,324,24
85,Hermosillo,1514,387,340,22
86,Hermosillo,721,229,187,12
87,Hermosillo,1261,423,308,22
88,Hermosillo,2447,594,590,36
89,Hermosillo,956,204,193,12
90,Hermosillo,1534,354,370,22
91,Hermosillo,968,204,193,12
92,Hermosillo,2557,465,534,30
93,Hermosillo,2902,834,990,56
94,Hermosillo,3149,721,771,46
95,Hermosillo,3079,886,735,50
96,Hermosillo,2319,507,500,31
97,Hermosillo,1490,398,336,22
98,Hermosillo,2252,455,515,30
99,Hermosillo,2477,943,588,47
100,Hermosillo,1260,319,444,23
101,Hermosillo,3311,806,793,49
102,Hermosillo,1271,353,358,21
103,Hermosillo,2723,635,428,32
104,Hermosillo,667,176,134,9
105,Hermosillo,3360,920,586,46
106,Hermosillo,2831,626,557,36
107,Hermosillo,1735,355,367,22
108,Hermosillo,1189,238,268,15
109,Hermosillo,1891,396,442,25
110,Hermosillo,2402,725,574,40
111,Hermosillo,1576,345,437,24
112,Hermosillo,2841,547,584,34
113,Hermosillo,718,205,153,11
114,Hermosillo,1708,520,394,28
115,Hermosillo,1908,341,477,25
116,Hermosillo,3399,1076,714,55
117,Hermosillo,1705,525,370,27
118,Hermosillo,1434,428,356,24
119,Hermosillo,1921,494,518,31
120,Hermosillo,3000,958,868,56
121,Hermosillo,985,334,272,18
122,Hermosillo,2977,630,898,47
123,Hermosillo,821,245,248,15
124,Hermosillo,1882,502,401,27
125,Hermosillo,1718,464,568,31
126,Hermosillo,3271,696,706,43
127,Hermosillo,784,266,208,14
128,Hermosillo,1689,567,411,30
129,Hermosillo,3334,842,757,49
130,Hermosillo,3023,946,666,49
131,Hermosillo,2060,589,694,39
132,Hermosillo,2517,654,926,48
133,Hermosillo,2900,983,782,54
134,Hermosillo,2854,633,488,34
135,Hermosillo,2334,636,631,39
136,Hermosillo,3286,1140,749,58
